"Benchmark Date",Tenor,"Publication Time",USD ICE LIBOR
"May 1, 2019","Overnight","11:55:04 AM",2.39188
"May 1, 2019","1 Week","11:55:04 AM",2.42663
"May 1, 2019","1 Month","11:55:04 AM",2.48325
"May 1, 2019","2 Month","11:55:04 AM",2.52438
"May 1, 2019","3 Month","11:55:04 AM",2.57550
"May 1, 2019","6 Month","11:55:04 AM",2.61150
"May 1, 2019","1 Year","11:55:04 AM",2.71038
"May 2, 2019","Overnight","11:55:05 AM",2.37313
"May 2, 2019","1 Week","11:55:05 AM",2.39663
"May 2, 2019","1 Month","11:55:05 AM",2.46713
"May 2, 2019","2 Month","11:55:05 AM",2.50688
"May 2, 2019","3 Month","11:55:05 AM",2.56513
"May 2, 2019","6 Month","11:55:05 AM",2.63850
"May 2, 2019","1 Year","11:55:05 AM",2.73688
"May 3, 2019","Overnight","11:55:05 AM",2.37788
"May 3, 2019","1 Week","11:55:05 AM",2.41088
"May 3, 2019","1 Month","11:55:05 AM",2.46663
"May 3, 2019","2 Month","11:55:05 AM",2.50838
"May 3, 2019","3 Month","11:55:05 AM",2.55988
"May 3, 2019","6 Month","11:55:05 AM",2.61738
"May 3, 2019","1 Year","11:55:05 AM",2.74550
"May 7, 2019","Overnight","11:55:05 AM",2.36313
"May 7, 2019","1 Week","11:55:05 AM",2.40438
"May 7, 2019","1 Month","11:55:05 AM",2.46275
"May 7, 2019","2 Month","11:55:05 AM",2.51475
"May 7, 2019","3 Month","11:55:05 AM",2.56200
"May 7, 2019","6 Month","11:55:05 AM",2.59438
"May 7, 2019","1 Year","11:55:05 AM",2.72138
"May 8, 2019","Overnight","11:55:05 AM",2.36275
"May 8, 2019","1 Week","11:55:05 AM",2.39550
"May 8, 2019","1 Month","11:55:05 AM",2.45138
"May 8, 2019","2 Month","11:55:05 AM",2.50100
"May 8, 2019","3 Month","11:55:05 AM",2.54513
"May 8, 2019","6 Month","11:55:05 AM",2.58225
"May 8, 2019","1 Year","11:55:05 AM",2.71375
"May 9, 2019","Overnight","11:55:05 AM",2.35888
"May 9, 2019","1 Week","11:55:05 AM",2.39063
"May 9, 2019","1 Month","11:55:05 AM",2.45338
"May 9, 2019","2 Month","11:55:05 AM",2.49638
"May 9, 2019","3 Month","11:55:05 AM",2.53525
"May 9, 2019","6 Month","11:55:05 AM",2.58163
"May 9, 2019","1 Year","11:55:05 AM",2.70213
"May 10, 2019","Overnight","11:55:05 AM",2.35638
"May 10, 2019","1 Week","11:55:05 AM",2.38850
"May 10, 2019","1 Month","11:55:05 AM",2.44900
"May 10, 2019","2 Month","11:55:05 AM",2.48963
"May 10, 2019","3 Month","11:55:05 AM",2.52788
"May 10, 2019","6 Month","11:55:05 AM",2.58700
"May 10, 2019","1 Year","11:55:05 AM",2.69338
"May 13, 2019","Overnight","11:55:05 AM",2.34513
"May 13, 2019","1 Week","11:55:05 AM",2.38688
"May 13, 2019","1 Month","11:55:05 AM",2.43963
"May 13, 2019","2 Month","11:55:05 AM",2.49525
"May 13, 2019","3 Month","11:55:05 AM",2.51800
"May 13, 2019","6 Month","11:55:05 AM",2.58763
"May 13, 2019","1 Year","11:55:05 AM",2.67225
"May 14, 2019","Overnight","11:55:04 AM",2.34338
"May 14, 2019","1 Week","11:55:04 AM",2.38813
"May 14, 2019","1 Month","11:55:04 AM",2.43763
"May 14, 2019","2 Month","11:55:04 AM",2.49863
"May 14, 2019","3 Month","11:55:04 AM",2.52450
"May 14, 2019","6 Month","11:55:04 AM",2.55088
"May 14, 2019","1 Year","11:55:04 AM",2.63925
"May 15, 2019","Overnight","11:55:04 AM",2.34913
"May 15, 2019","1 Week","11:55:04 AM",2.38113
"May 15, 2019","1 Month","11:55:04 AM",2.43238
"May 15, 2019","2 Month","11:55:04 AM",2.49575
"May 15, 2019","3 Month","11:55:04 AM",2.52513
"May 15, 2019","6 Month","11:55:04 AM",2.55088
"May 15, 2019","1 Year","11:55:04 AM",2.63250
"May 16, 2019","Overnight","11:55:05 AM",2.35938
"May 16, 2019","1 Week","11:55:05 AM",2.38463
"May 16, 2019","1 Month","11:55:05 AM",2.44063
"May 16, 2019","2 Month","11:55:05 AM",2.48913
"May 16, 2019","3 Month","11:55:05 AM",2.51963
"May 16, 2019","6 Month","11:55:05 AM",2.55150
"May 16, 2019","1 Year","11:55:05 AM",2.61425
"May 17, 2019","Overnight","11:55:05 AM",2.35575
"May 17, 2019","1 Week","11:55:05 AM",2.39600
"May 17, 2019","1 Month","11:55:05 AM",2.44188
"May 17, 2019","2 Month","11:55:05 AM",2.48788
"May 17, 2019","3 Month","11:55:05 AM",2.52188
"May 17, 2019","6 Month","11:55:05 AM",2.55375
"May 17, 2019","1 Year","11:55:05 AM",2.63538
"May 20, 2019","Overnight","11:55:04 AM",2.35938
"May 20, 2019","1 Week","11:55:04 AM",2.39413
"May 20, 2019","1 Month","11:55:04 AM",2.43600
"May 20, 2019","2 Month","11:55:04 AM",2.48825
"May 20, 2019","3 Month","11:55:04 AM",2.52338
"May 20, 2019","6 Month","11:55:04 AM",2.55975
"May 20, 2019","1 Year","11:55:04 AM",2.64688
"May 21, 2019","Overnight","11:55:04 AM",2.35538
"May 21, 2019","1 Week","11:55:04 AM",2.39513
"May 21, 2019","1 Month","11:55:04 AM",2.42963
"May 21, 2019","2 Month","11:55:04 AM",2.49325
"May 21, 2019","3 Month","11:55:04 AM",2.52350
"May 21, 2019","6 Month","11:55:04 AM",2.56325
"May 21, 2019","1 Year","11:55:04 AM",2.65363
"May 22, 2019","Overnight","11:55:05 AM",2.35450
"May 22, 2019","1 Week","11:55:05 AM",2.39425
"May 22, 2019","1 Month","11:55:05 AM",2.43700
"May 22, 2019","2 Month","11:55:05 AM",2.49725
